Title,Price,Availability
Sapiens: A Brief History of Humankind,£54.23,In stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,In stock
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,In stock
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,In stock
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,In stock
Zealot: The Life and Times of Jesus of Nazareth,£24.70,In stock
A Distant Mirror: The Calamitous 14th Century,£14.58,In stock
1491: New Revelations of the Americas Before Columbus,£21.80,In stock
Brilliant Beacons: A History of the American Lighthouse,£11.45,In stock
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,In stock
A Short History of Nearly Everything,£52.40,In stock
The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67,In stock
Catherine the Great: Portrait of a Woman,£58.55,In stock
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,In stock
The Hiding Place,£55.91,In stock
America's War for the Greater Middle East: A Military History,£51.22,In stock
The Guns of August,£14.54,In stock
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70,In stock
