Title,Price,Availability
Chase Me (Paris Nights #2),£25.27,In stock
Black Dust,£34.53,In stock
Her Backup Boyfriend (The Sorensen Family #1),£33.97,In stock
First and First (Five Boroughs #3),£15.97,In stock
Fifty Shades Darker (Fifty Shades #2),£21.96,In stock
The Wedding Dress,£24.12,In stock
Suddenly in Love (Lake Haven #1),£55.99,In stock
Something More Than This,£16.24,In stock
Doing It Over (Most Likely To #1),£35.61,In stock
The Wedding Pact (The O'Malleys #2),£32.61,In stock
Hold Your Breath (Search and Rescue #1),£28.82,In stock
Dirty (Dive Bar #1),£40.83,In stock
Take Me Home Tonight (Rock Star Romance #3),£53.98,In stock
Off the Hook (Fishing for Trouble #1),£47.67,In stock
A Gentleman's Position (Society of Gentlemen #3),£14.75,In stock
"Sit, Stay, Love",£20.90,In stock
A Girl's Guide to Moving On (New Beginnings #2),£31.30,In stock
The Perfect Play (Play by Play #1),£59.99,In stock
Dark Lover (Black Dagger Brotherhood #1),£12.87,In stock
Changing the Game (Play by Play #2),£13.38,In stock
