Title,Price,Availability
Sharp Objects,£47.82,In stock
"In a Dark, Dark Wood",£19.63,In stock
The Past Never Ends,£56.50,In stock
A Murder in Time,£16.64,In stock
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,In stock
The Last Mile (Amos Decker #2),£54.21,In stock
That Darkness (Gardiner and Renner #1),£13.92,In stock
Tastes Like Fear (DI Marnie Rome #3),£10.69,In stock
A Time of Torment (Charlie Parker #14),£48.35,In stock
A Study in Scarlet (Sherlock Holmes #1),£16.73,In stock
Poisonous (Max Revere Novels #3),£26.80,In stock
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,In stock
Most Wanted,£35.28,In stock
Hide Away (Eve Duncan #20),£11.84,In stock
Boar Island (Anna Pigeon #19),£59.48,In stock
The Widow,£27.26,In stock
Playing with Fire,£13.71,In stock
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,In stock
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,In stock
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,In stock
