Title,Price,Availability
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,In stock
Will You Won't You Want Me?,£13.86,In stock
Keep Me Posted,£20.46,In stock
Grey (Fifty Shades #4),£48.49,In stock
Meternity,£43.58,In stock
Some Women,£13.73,In stock
Shopaholic Ties the Knot (Shopaholic #3),£48.39,In stock
Can You Keep a Secret?,£21.94,In stock
Twenties Girl,£42.80,In stock
The Undomestic Goddess,£45.75,In stock
The Nanny Diaries (Nanny #1),£52.53,In stock
The Devil Wears Prada (The Devil Wears Prada #1),£44.29,In stock
Something Borrowed (Darcy & Rachel #1),£48.96,In stock
Something Blue (Darcy & Rachel #2),£54.62,In stock
I've Got Your Number,£19.69,In stock
The Edge of Reason (Bridget Jones #2),£19.18,In stock
Bridget Jones's Diary (Bridget Jones #1),£29.82,In stock
