Title,Price,Availability
The Secret Garden,£15.08,In stock
The Metamorphosis,£28.58,In stock
The Pilgrim's Progress,£50.26,In stock
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,In stock
Little Women (Little Women #1),£28.07,In stock
Gone with the Wind,£32.49,In stock
Candide,£58.63,In stock
Animal Farm,£57.22,In stock
Wuthering Heights,£17.73,In stock
The Picture of Dorian Gray,£29.70,In stock
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,In stock
Beowulf,£38.35,In stock
And Then There Were None,£35.01,In stock
The Story of Hong Gildong,£43.19,In stock
The Little Prince,£45.42,In stock
Sense and Sensibility,£37.46,In stock
Of Mice and Men,£47.11,In stock
Emma,£32.93,In stock
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,In stock
