Title,Price,Availability
A Light in the Attic,£51.77,In stock
The Black Maria,£52.15,In stock
Shakespeare's Sonnets,£20.66,In stock
Olio,£23.88,In stock
You can't bury them all: Poems,£33.63,In stock
Slow States of Collapse: Poems,£57.31,In stock
Untitled Collection: Sabbath Poems 2014,£14.27,In stock
Poems That Make Grown Women Cry,£14.19,In stock
Night Sky with Exit Wounds,£41.05,In stock
salt.,£46.78,In stock
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,In stock
Out of Print: City Lights Spotlight No. 14,£53.64,In stock
Les Fleurs du Mal,£29.04,In stock
Howl and Other Poems,£40.45,In stock
Leave This Song Behind: Teen Poetry at Its Best,£51.17,In stock
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,In stock
The Crossover,£38.77,In stock
Booked,£17.49,In stock
Twenty Love Poems and a Song of Despair,£30.95,In stock
