Title,Price,Availability
Sophie's World,£15.94,In stock
The Death of Humanity: and the Case for Life,£58.11,In stock
The Stranger,£17.44,In stock
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,In stock
Kierkegaard: A Christian Missionary to Christians,£47.13,In stock
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,In stock
Critique of Pure Reason,£20.75,In stock
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,In stock
The Nicomachean Ethics,£36.34,In stock
Meditations,£25.89,In stock
Beyond Good and Evil,£43.38,In stock
